time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C)
28/04/2024,21,11.2,21.2,9
29/04/2024,13.8,9,11.7,6.5
30/04/2024,19.4,7.5,18.2,5.3
01/05/2024,21.1,8,19.7,5.3
02/05/2024,24.9,12.3,23.6,9.8
03/05/2024,23.4,14.5,21,11.5
04/05/2024,22.1,11.9,19.6,9.8
05/05/2024,26.5,13.4,25,11.6
06/05/2024,27.6,14,27,12.8
07/05/2024,29,15.8,28.2,13.7
08/05/2024,31.3,17.5,29.7,14.6
09/05/2024,31.2,18.9,30.4,16.3
10/05/2024,28.9,19.3,27.1,16.4
11/05/2024,27.8,17.6,26.2,15.7
12/05/2024,22.4,13.5,20.8,12.1
13/05/2024,25.3,12.2,24.4,11.2
14/05/2024,28.8,15.3,27.9,13
15/05/2024,32.1,17.4,30.7,14.5
16/05/2024,32,19.3,30.6,17.3
17/05/2024,30.9,19,29.9,17.1
18/05/2024,29,19.7,27.2,17.9
19/05/2024,29.4,17.8,29,16.4
20/05/2024,28.8,15.7,28.6,15
21/05/2024,31.3,17.6,30.7,16.5
22/05/2024,32.7,19.9,32.9,17.9
23/05/2024,32.2,20.9,31.2,18.3
24/05/2024,30.9,19.3,31,18.1
25/05/2024,31.2,19.1,30.9,18
26/05/2024,30,19.5,30,18.4
27/05/2024,31.5,20.9,30.2,19.1
28/05/2024,31.4,20,30.1,17.5
29/05/2024,28.4,19.7,27.8,17.1
30/05/2024,27,16.3,27,14.3
31/05/2024,25.3,14,24.7,12.9
01/06/2024,24.8,13.6,24.8,12.3
02/06/2024,28,17.8,27.5,16.4
03/06/2024,30.1,19.1,29.9,17.2
04/06/2024,28.4,19.3,28,17.7
05/06/2024,26.7,16.7,26.1,15.3
06/06/2024,25.1,16.1,23.7,14.4
07/06/2024,25.5,15.6,24.6,14
08/06/2024,25.2,14.6,23.6,13.3
09/06/2024,26.1,13.1,25.9,12.2
10/06/2024,29.8,17.1,28.9,15.5
11/06/2024,30.5,18,30,16.3
12/06/2024,31.3,19.7,31.1,18.3
13/06/2024,29.6,19.9,29.5,18.9
14/06/2024,31,19,30.8,18
15/06/2024,31.5,19.5,31.6,18.6
16/06/2024,33.5,20.5,33.4,19.5
17/06/2024,32.3,21.2,32.8,20.3
18/06/2024,29.6,18.6,30.5,19.1
19/06/2024,30.5,19.1,30.8,18.2
20/06/2024,30.7,18.5,30.4,17.5
21/06/2024,29.1,19.7,27.5,18.9
22/06/2024,30.8,16,30.7,16.4
23/06/2024,31.6,16.3,32,16.9
24/06/2024,31.9,20.3,32,19.4
25/06/2024,33.2,20.4,33.2,20.1
26/06/2024,34.6,23.2,34.1,22.1
27/06/2024,35.9,23.4,35.5,22.6
28/06/2024,37.2,24.4,36.8,23.3
29/06/2024,35.9,25.9,34.5,25.3
30/06/2024,36.7,23.3,38,24
01/07/2024,37.4,25.1,37.4,24.5
02/07/2024,36.9,26.2,37.1,25.7
03/07/2024,38.6,26.5,38.6,26.4
04/07/2024,38.9,27.5,39.2,27.2
05/07/2024,33.7,20.6,34.9,22.2
06/07/2024,32.6,20.9,32.1,21.2
07/07/2024,30.5,20.5,29.7,20.7
08/07/2024,31.8,19.7,31.5,19.4
09/07/2024,34.4,23.5,34.4,22.5
10/07/2024,35.3,24.3,35.8,23.6
11/07/2024,33.1,19.6,33.8,20.4
12/07/2024,33.7,20.8,33.7,19.8
13/07/2024,32,21.7,32,20.5
14/07/2024,30.4,20.6,28.8,20
15/07/2024,33.2,22,32.3,21.4
16/07/2024,32.1,22.9,31,21.9
17/07/2024,35,23.6,34.9,22.8
18/07/2024,33.9,24.1,34,23.5
19/07/2024,34.2,20.6,34.1,21
20/07/2024,33.8,23.7,33.4,23.3
21/07/2024,34.6,24.6,34,24.3
22/07/2024,34.1,26,34.6,26.3
23/07/2024,35.7,25.2,34.7,24.2
24/07/2024,33.9,19.9,35.7,21.5
25/07/2024,34.9,21.8,35.3,22.4
26/07/2024,38.2,25,38.7,24.5
27/07/2024,39.9,27.2,39.6,25
28/07/2024,40.8,27.2,40.5,24.8
29/07/2024,41.2,28,41,26.5
30/07/2024,31.9,24.7,32.4,28.7
31/07/2024,34.8,23.8,36.6,26.8
01/08/2024,38.1,26.1,38.5,27.6
02/08/2024,39.1,27.2,39.1,28.3
03/08/2024,38.2,27.6,39.9,28.2
04/08/2024,31.3,22.9,33.3,26.6
05/08/2024,33.9,22.8,34.1,26.4
06/08/2024,34.7,25.1,37,27.4
07/08/2024,36.5,26.8,38.5,27.8
08/08/2024,36.7,27.7,39.1,28.5
09/08/2024,34.8,26.8,35.9,28.3
10/08/2024,35.8,26.4,38.1,28
11/08/2024,36,27.1,38.1,28.8
12/08/2024,35.4,26,37.4,27.6
13/08/2024,35.7,26.7,37,27.6
