time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C)
28/04/2024,35.5,25.8,39.9,30.6
29/04/2024,38.4,26.3,37.9,30.2
30/04/2024,38,25.6,35.9,29
01/05/2024,37.8,25.5,36.5,24.4
02/05/2024,35.3,25.3,39.7,28.7
03/05/2024,33.3,26.8,36.4,31.8
04/05/2024,33.2,26.9,37.1,30.7
05/05/2024,33.7,27,37.4,31.2
06/05/2024,34.4,26.8,39.7,32
07/05/2024,35.4,26.7,40.7,32.2
08/05/2024,34.4,26.9,40.5,32.1
09/05/2024,34.4,27.5,40.9,33.5
10/05/2024,33.1,27.2,38.5,33.6
11/05/2024,33,28,37.9,33.6
12/05/2024,34.9,27.9,41,34.4
13/05/2024,34.4,27.9,41.1,34.1
14/05/2024,34,28,39.2,33.5
15/05/2024,36.1,27.3,41.3,33
16/05/2024,35.9,27.5,41.4,32.6
17/05/2024,36.6,28.4,41.8,33.9
18/05/2024,38,27.9,42.1,34.1
19/05/2024,34.8,27.7,40.1,33.8
20/05/2024,34.4,29.2,40.1,34.7
21/05/2024,35.5,28.8,42,34.9
22/05/2024,35.7,29,42.1,35.8
23/05/2024,35.2,28.3,41.9,35
24/05/2024,34.9,28.5,40.9,34.2
25/05/2024,35.2,29,41.8,35.3
26/05/2024,35.4,29.2,41.5,35.4
27/05/2024,35.3,29.2,41.9,34.5
28/05/2024,34.4,29.2,39.8,34
29/05/2024,38.9,29.2,43.4,34.1
30/05/2024,35.1,29.4,42.5,35.7
31/05/2024,33.8,28.9,40.7,35.2
01/06/2024,34.6,29.1,41.8,35.6
02/06/2024,34,29.1,39.9,35.4
03/06/2024,34.3,28.8,39.7,34.8
04/06/2024,34.2,28.8,38.5,34.6
05/06/2024,33.5,29.1,37.6,33.2
06/06/2024,34,29.1,38.7,34.3
07/06/2024,34.2,28.9,39.7,34.3
08/06/2024,34.5,28.5,40.3,34
09/06/2024,34.4,29,40.1,34.7
10/06/2024,34.3,28.8,39.5,33.7
11/06/2024,33.9,28.7,39,34.2
12/06/2024,33.4,29,38.2,34.2
13/06/2024,34,29.3,38.5,33.9
14/06/2024,34.6,29.7,40.4,35.9
15/06/2024,34.8,29.6,41.3,36.7
16/06/2024,34.9,30.1,40.6,36
17/06/2024,34.1,29.8,40.3,35.8
18/06/2024,34.3,29.9,39.6,35.7
19/06/2024,34.4,29.9,40.5,36.2
20/06/2024,34.7,30,41.5,36.6
21/06/2024,34.9,29.6,42.3,36.1
22/06/2024,35.4,30.1,42.9,37.1
23/06/2024,37.3,29.8,44.3,36.6
24/06/2024,38.5,29.5,44.6,35.2
25/06/2024,38,29.6,45,35.7
26/06/2024,35.9,29.7,43.1,36.6
27/06/2024,38.6,30.4,45.8,37.9
28/06/2024,37.2,30.9,42.1,38.4
29/06/2024,35.8,30.6,42.6,37.5
30/06/2024,35.8,30.8,43.3,38.2
01/07/2024,35.8,31.1,42.5,37.2
02/07/2024,35,30.7,41.8,37.2
03/07/2024,35.3,30.7,41.9,37.2
04/07/2024,35.4,30.5,41.9,36.9
05/07/2024,33.8,30.2,39.4,36.3
06/07/2024,34.7,30.7,41.1,36.9
07/07/2024,35.7,30.5,43.1,37
08/07/2024,35.9,30.7,44,37.9
09/07/2024,36,30,44,37.7
10/07/2024,35.6,29.5,43.1,37
11/07/2024,34.6,30.4,40.9,36.4
12/07/2024,33.9,30.3,38.7,35.3
13/07/2024,34.5,30.2,39.9,35.2
14/07/2024,34.6,30,40.7,36.1
15/07/2024,35.9,30.1,43.2,37
16/07/2024,37.3,30.3,43.5,37.3
17/07/2024,36.7,30.7,45.1,38.1
18/07/2024,35.2,30.7,42.7,37.6
19/07/2024,35.8,30.2,42.2,37.4
20/07/2024,36.6,30.3,45,37.6
21/07/2024,37.3,30.4,46.3,38.7
22/07/2024,35.7,30.2,43.3,37.9
23/07/2024,34.2,30.4,40.6,36.7
24/07/2024,34.2,30.3,40.4,36.1
25/07/2024,34.3,29.9,40.7,35.8
26/07/2024,33.9,30.2,39.5,36.2
27/07/2024,34.5,29.6,40.7,35.7
28/07/2024,34,29.8,40.2,36.2
29/07/2024,33.4,29.8,39.6,36.9
30/07/2024,32.2,28.6,38.6,35.2
31/07/2024,30.1,28.2,36.6,35.1
01/08/2024,30.6,28.3,36.5,35.4
02/08/2024,30.7,28.7,36,34.5
03/08/2024,31,28.6,37.2,35.1
04/08/2024,32,28.5,39.3,35.6
05/08/2024,30.8,27.1,36.5,32.5
06/08/2024,30.5,28.1,33.8,32.5
07/08/2024,31.7,28,33.9,31.2
08/08/2024,31.7,28.1,33.9,30.4
09/08/2024,31.7,28.1,34.6,31.2
10/08/2024,31.7,28.4,35.4,31.8
11/08/2024,31.8,28.2,34.1,30.7
12/08/2024,30.8,28.1,32.2,30
13/08/2024,31.2,28.1,34.1,31.1
