time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C)
28/04/2024,33.4,20.7,36.4,21.3
29/04/2024,31.6,19.2,32.8,19.7
30/04/2024,31,16.8,31.2,17.6
01/05/2024,29.2,16.6,28.7,16.9
02/05/2024,33.8,19,34.2,19.3
03/05/2024,35.1,20.3,36.4,20.5
04/05/2024,37.2,22.9,37.6,22.8
05/05/2024,37.7,23.1,38.7,23.7
06/05/2024,40,25.1,41.2,26.9
07/05/2024,41.1,25.3,41.5,27.3
08/05/2024,42.3,25,42.9,25.3
09/05/2024,40.1,26.1,43.8,26.9
10/05/2024,38.2,25.7,43.1,27.6
11/05/2024,37.4,23.3,39.3,25.3
12/05/2024,34.6,24.5,38.6,26
13/05/2024,37.8,22.9,38.7,24.7
14/05/2024,39.8,24.3,40.5,25.8
15/05/2024,41.6,25.3,44.1,26.9
16/05/2024,42.9,26.8,45.9,29.7
17/05/2024,43.4,29.2,45.4,32.1
18/05/2024,43.5,28.9,44.6,31.3
19/05/2024,42.4,29.3,44.7,31.6
20/05/2024,43.5,29.7,46,32.7
21/05/2024,44.1,29.4,45.4,30.7
22/05/2024,43.9,28.1,46.7,31.1
23/05/2024,42.6,29.1,47.2,32.2
24/05/2024,42.7,31.1,47.7,36.4
25/05/2024,42.4,28.2,43.4,32.9
26/05/2024,44.5,28.6,46.1,32.6
27/05/2024,45.4,29,45.4,31.9
28/05/2024,46.1,27.7,46,29.5
29/05/2024,45.6,28.2,45.6,29.4
30/05/2024,44.5,28.8,45.9,28.8
31/05/2024,45.1,27.1,46,28.8
01/06/2024,44.3,28.2,44.9,32.1
02/06/2024,43.7,29.1,46.4,31.8
03/06/2024,44.5,29.9,46.4,33.5
04/06/2024,43.2,26.9,44.6,30.4
05/06/2024,39.5,25.1,44.2,26.8
06/06/2024,36.9,24.6,40.6,27
07/06/2024,38.2,27.1,41,30
08/06/2024,38,28.2,39.4,29.7
09/06/2024,40.6,27.8,41.1,30.2
10/06/2024,42.4,29,43.5,31
11/06/2024,43.7,29.7,45.3,32.1
12/06/2024,44.9,30.3,45.3,32.3
13/06/2024,43.5,30.9,46.1,34.2
14/06/2024,43.2,30.2,45,32
15/06/2024,43.1,31.3,45,34.6
16/06/2024,44.9,31.7,48,35.4
17/06/2024,45.3,32.9,48.9,37.4
18/06/2024,44.1,32.1,49.1,35.1
19/06/2024,41.6,28.5,46.7,33.6
20/06/2024,39.4,26.2,44.6,30.7
21/06/2024,35.6,28.2,39.9,33.1
22/06/2024,39.3,27.3,43,31.3
23/06/2024,41.7,29.2,45.2,32.9
24/06/2024,42.9,30.3,46,34.2
25/06/2024,42.5,30.5,47.5,36
26/06/2024,43.8,32.4,47.5,37.2
27/06/2024,38.4,29.7,44.4,34.9
28/06/2024,39.5,29.3,44.6,36.6
29/06/2024,39.7,30.5,46.1,36.9
30/06/2024,39,29.7,46.1,37.4
01/07/2024,36.4,28.9,44.4,35.7
02/07/2024,39.7,29.5,47.4,36
03/07/2024,39.3,29,47.7,35.7
04/07/2024,32.7,26.5,39.2,31.5
05/07/2024,34.5,28.2,41,33.8
06/07/2024,31,25,37.6,29.7
07/07/2024,32.2,26.2,38.5,31.4
08/07/2024,36.4,27.6,43.6,34
09/07/2024,36.7,27.9,44.1,34
10/07/2024,37.7,30,45,37.3
11/07/2024,37.9,28.4,44.5,35.5
12/07/2024,36.6,27.2,44.6,33.5
13/07/2024,35.3,25.5,40.7,31.1
14/07/2024,37.6,28,43.3,34.8
15/07/2024,38.8,29.7,45.1,37.7
16/07/2024,39.8,30.7,46.2,38.5
17/07/2024,38,30.4,45.2,37.9
18/07/2024,37.1,28.9,44.2,35.3
19/07/2024,40.4,29,46.4,36.9
20/07/2024,40.8,30.2,46.7,37
21/07/2024,39.8,29.9,46.8,37.8
22/07/2024,37.9,30.3,46.2,38.3
23/07/2024,35.8,28.6,42.5,34.9
24/07/2024,36.7,28.9,44.4,36.8
25/07/2024,37.2,28.7,45.8,35.6
26/07/2024,37.3,29,45.5,36.1
27/07/2024,37.2,30.2,45.9,37.5
28/07/2024,33.4,30.2,42.4,38
29/07/2024,32.6,28.8,41,35.5
30/07/2024,32.3,29.3,40.8,36.8
31/07/2024,30.1,27.6,37.5,34.7
01/08/2024,28.8,26.8,35.9,33.4
02/08/2024,28.5,26.7,35,33
03/08/2024,29.8,26.6,37,32.4
04/08/2024,32.6,27.4,38.9,34
05/08/2024,31.1,26.3,38.5,31.2
06/08/2024,30.8,25.9,35.9,31.5
07/08/2024,37.2,27,43.5,32.5
08/08/2024,33.8,26.2,38.1,30.7
09/08/2024,35.9,25.6,40.5,30.7
10/08/2024,35.7,28.4,42.6,34.2
11/08/2024,38.2,30.4,42.2,34.8
12/08/2024,40.2,31.2,44.7,35.7
13/08/2024,38.5,26.8,44.2,31.6
