time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C)
28/04/2024,20.9,16.9,22.2,17.6
29/04/2024,21.8,15.1,22.6,15.7
30/04/2024,23.1,13,20.5,12.7
01/05/2024,30,10.8,30.2,9.4
02/05/2024,31.7,14.8,34.1,14.6
03/05/2024,26,17.3,28.1,18.3
04/05/2024,29.3,18.6,30.6,19.6
05/05/2024,33.8,18.2,34.4,18.7
06/05/2024,37.2,19.5,37.9,20.6
07/05/2024,38.4,19.3,39.4,20.8
08/05/2024,39.9,20.1,41,21.3
09/05/2024,38.5,22.5,41,25.2
10/05/2024,28.9,23.2,32.2,26
11/05/2024,35.5,21.9,39,24
12/05/2024,31.5,20.2,33.1,21
13/05/2024,35.2,21.6,36.9,23.5
14/05/2024,37.3,21.3,38.6,22.9
15/05/2024,38.6,22.2,40.7,23.8
16/05/2024,38.8,25.2,40.6,28
17/05/2024,39.2,24.8,41.6,27.4
18/05/2024,39,26,40.3,27.6
19/05/2024,40.1,24.8,42.7,26.9
20/05/2024,38.1,24.5,40.4,26.4
21/05/2024,42.1,24.4,42,26.6
22/05/2024,43.1,23,43.9,24.2
23/05/2024,42.5,23.7,44.3,25.5
24/05/2024,41.8,25.3,44.3,29.1
25/05/2024,42.3,24.1,44.6,26.9
26/05/2024,43.7,24.3,41.2,27
27/05/2024,44.9,23.3,40.8,22
28/05/2024,44.4,23.3,40.6,21.8
29/05/2024,43.2,27.9,39.6,25.8
30/05/2024,43,22.8,42.3,21.8
31/05/2024,41.2,24,39.6,24.2
01/06/2024,42.8,23,41.8,24.1
02/06/2024,43.2,22.3,43.2,22.7
03/06/2024,44,24.1,45.4,26.4
04/06/2024,41,23.9,42.2,26.5
05/06/2024,34.3,25,35.1,27.3
06/06/2024,33.2,22.2,36.1,24.6
07/06/2024,36.3,20.8,38.2,23
08/06/2024,37.6,21.4,39.1,23.2
09/06/2024,39,21.6,40.9,22.8
10/06/2024,42,21.8,42.8,22.8
11/06/2024,43,22.9,43.6,24.3
12/06/2024,43.9,24.2,44.5,26.2
13/06/2024,42.4,24.7,44.6,27.7
14/06/2024,42.3,25.9,43.4,28.4
15/06/2024,43,25.4,45.2,27.8
16/06/2024,44.8,26.2,47.5,29.3
17/06/2024,43.4,28.3,45.6,31.7
18/06/2024,43.5,27.2,43.8,31.3
19/06/2024,44,26.1,45.3,29.7
20/06/2024,42.9,25.3,43.9,29.5
21/06/2024,36,24.4,40.1,29.2
22/06/2024,38.6,25.4,42,29
23/06/2024,40.4,27,44,28.9
24/06/2024,43.1,25.1,45.9,27.9
25/06/2024,42.7,26.3,45.5,29
26/06/2024,43.9,27.6,47.1,31.5
27/06/2024,43.1,29.1,47.7,34.8
28/06/2024,41.9,27.8,47.3,32.1
29/06/2024,41.8,28.9,47.5,35
30/06/2024,40,26.5,45.1,31.2
01/07/2024,40.9,27.4,46.8,33.7
02/07/2024,43,28.5,47.6,33.7
03/07/2024,44.6,30.7,49.9,37.6
04/07/2024,35.9,27,41.5,32.7
05/07/2024,36.5,26.9,42.2,32.3
06/07/2024,35.8,24.9,40.7,28.7
07/07/2024,34.8,24.4,39.7,28
08/07/2024,39,27.4,43,33.6
09/07/2024,39.6,25.8,45.9,29.5
10/07/2024,37.3,26.8,44,31.9
11/07/2024,39.7,26.7,45,32.6
12/07/2024,41.3,29,45.4,33.9
13/07/2024,37.2,25.1,42.1,29.4
14/07/2024,39,25.6,42.3,28.9
15/07/2024,40.7,27.8,45.1,32.5
16/07/2024,40.3,28.5,45.5,33.6
17/07/2024,40.9,29.4,46.9,36.6
18/07/2024,35.2,25.7,42.4,31
19/07/2024,39.6,27.4,44.9,32
20/07/2024,41.7,29.3,46.6,36.4
21/07/2024,43.2,29,48.3,35.7
22/07/2024,40.1,29.4,46.3,34
23/07/2024,32.5,26.7,38.3,31.5
24/07/2024,39.1,27,44.6,33.1
25/07/2024,41.6,28.5,47.7,34.9
26/07/2024,40.3,27.7,46.9,34.2
27/07/2024,40.9,28.6,46.9,34.9
28/07/2024,33.2,28.4,41.3,35.3
29/07/2024,30.5,27.6,38.3,34.3
30/07/2024,29.9,27.2,37.3,33.8
31/07/2024,34.8,27.2,42,34.6
01/08/2024,34.5,27,41.6,33.8
02/08/2024,32.7,27,40.9,33.7
03/08/2024,30.2,26.4,37,33.2
04/08/2024,27.6,25.8,33.7,32.2
05/08/2024,34.7,25.7,37.4,32.1
06/08/2024,37.3,27.2,42.8,32.1
07/08/2024,41.1,31.5,45.9,35.8
08/08/2024,41.9,32.9,46.9,37.2
09/08/2024,36.3,28.3,41.4,32.6
10/08/2024,37.9,27.3,42.7,32.2
11/08/2024,40,30.7,45.6,34.8
12/08/2024,40.4,30.9,45.6,35.8
13/08/2024,37.5,29.6,44.1,35.1
