time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C)
28/04/2024,29.5,16,28.5,15.9
29/04/2024,28.6,16.1,28.1,16.1
30/04/2024,28.4,17.5,28.1,17.6
01/05/2024,29.8,17.5,30,17.7
02/05/2024,31.1,17.5,30.1,18.4
03/05/2024,30.8,20.4,30.8,20.9
04/05/2024,31.3,17.3,30.5,18.5
05/05/2024,26.8,17.9,23.6,18
06/05/2024,26.7,17.4,24.6,16.3
07/05/2024,27.1,15.3,26.5,15.1
08/05/2024,30,15.6,29.9,15.7
09/05/2024,34.4,16.3,33,15.7
10/05/2024,33,20,32.2,19
11/05/2024,28.8,19.5,28.7,19.2
12/05/2024,27.9,17.4,26.6,18.5
13/05/2024,26.9,17.4,25.4,16.8
14/05/2024,28.3,17.2,26.9,17.2
15/05/2024,30.1,16.5,29.1,17.8
16/05/2024,34.1,18.1,32.9,18.4
17/05/2024,37.5,20.4,36.4,19.8
18/05/2024,40.4,22.6,39,22.3
19/05/2024,41.1,23.9,41,23.9
20/05/2024,42.8,26.4,40.4,26.2
21/05/2024,39.3,24.1,39.7,25.2
22/05/2024,40.2,24.2,40.2,25.5
23/05/2024,36.6,24.1,36.5,23.5
24/05/2024,32.3,20.1,31.5,21.6
25/05/2024,31.6,20.1,30.2,20.6
26/05/2024,36.4,20.4,35.3,21.7
27/05/2024,30.9,22.4,30.8,21.6
28/05/2024,30.1,19.8,30.8,21.5
29/05/2024,29.6,19.2,30.2,20.3
30/05/2024,31,19.3,31,20.7
31/05/2024,35,19.8,34.9,20
01/06/2024,38.8,22.9,39.4,22.5
02/06/2024,37,23.6,36,23.3
03/06/2024,36.9,22.2,36.3,22.7
04/06/2024,37.7,21.9,37.7,23
05/06/2024,38.7,23.4,38.3,25.2
06/06/2024,42.6,23.6,42.6,25.6
07/06/2024,41.7,24.6,41.6,26.5
08/06/2024,35.4,23.5,37.3,25.5
09/06/2024,35,23,34,24.9
10/06/2024,36.1,22.5,36.3,24.3
11/06/2024,36.8,22.2,37.5,25.4
12/06/2024,38.9,23,39.3,25.8
13/06/2024,42.8,24,41.6,26.5
14/06/2024,44.2,25.3,44,27.6
15/06/2024,42.9,26.4,43.6,28.6
16/06/2024,38.2,23.9,39.6,27.3
17/06/2024,35.5,22.5,36.5,25.7
18/06/2024,36,23.8,38.4,26.4
19/06/2024,37.1,23.6,38.9,26.8
20/06/2024,37.3,23.5,38.8,26.8
21/06/2024,38.2,24.8,38.4,29.1
22/06/2024,38.5,25,38.8,26.9
23/06/2024,40.2,25.2,41,27.6
24/06/2024,40.7,26.1,42.7,28.3
25/06/2024,37.5,23.9,38,26.7
26/06/2024,37.5,24,39.8,27.2
27/06/2024,38.7,23.8,40.9,27.2
28/06/2024,39.3,24.4,40.4,28.2
29/06/2024,35,25,37.6,27.7
30/06/2024,35.6,24,38.1,26.8
01/07/2024,36.6,25,38.3,28.9
02/07/2024,36.5,23.9,37.8,27
03/07/2024,38,22.7,38.1,25.3
04/07/2024,41,25.6,42.7,26.6
05/07/2024,36.2,25,38.7,28.5
06/07/2024,34.5,24.8,36.1,27.3
07/07/2024,36.1,24.1,38.2,27.4
08/07/2024,37.3,24.4,39.5,27.8
09/07/2024,38.1,25,40.6,28.9
10/07/2024,39.8,26,42.3,30.3
11/07/2024,40.8,26.5,42.6,31.3
12/07/2024,40,26.8,42.7,30.2
13/07/2024,38.3,25.3,38.3,30.2
14/07/2024,36.7,25.1,38.3,28.1
15/07/2024,37.4,24.6,39.3,28.2
16/07/2024,37,24.1,37.9,27.7
17/07/2024,37.3,24.5,39.3,28.9
18/07/2024,37.5,24.9,40,28.8
19/07/2024,38.5,24.2,40.6,29.3
20/07/2024,39.3,24.5,41,26.9
21/07/2024,39.8,25.6,41.5,29.5
22/07/2024,39.9,26.3,41.1,30.5
23/07/2024,39.1,26.5,40.8,30.9
24/07/2024,39.2,24.9,41,29
25/07/2024,41.4,26.2,41.6,30.3
26/07/2024,36.5,25.6,37.1,29.6
27/07/2024,36,25.6,38.5,29.1
28/07/2024,38.1,24.4,40.9,28.7
29/07/2024,37.9,25.5,39.4,29.6
30/07/2024,37.2,24.1,37.5,28.2
31/07/2024,38.2,24.8,39.7,28.9
01/08/2024,37.6,25.2,40,29.7
02/08/2024,38.5,24.1,39.4,28.9
03/08/2024,35.5,24.3,36.6,28.1
04/08/2024,37.1,23.3,37.4,26.9
05/08/2024,40.2,23,38.7,27.1
06/08/2024,40.3,24.1,38.6,28.6
07/08/2024,38.9,23,40.4,26.9
08/08/2024,40.5,24.7,42.5,28.7
09/08/2024,41.4,25.3,42.3,28.4
10/08/2024,39.8,24.1,37.6,26.4
11/08/2024,41.1,24.4,39.2,26.9
12/08/2024,40.3,23.1,38.7,25
13/08/2024,39.7,22.9,38.7,25.1
