ds,prediction,actual
28/04/2024,23.98421287,21
29/04/2024,24.58569182,13.8
30/04/2024,24.91136902,19.4
,,
,,
ds,prediction,actual
01/05/2024,26.08,21.1
02/05/2024,26.19,24.9
03/05/2024,25.66,23.4
04/05/2024,25.32,22.1
05/05/2024,24.96,26.5
06/05/2024,25.56,27.6
07/05/2024,25.89,29
08/05/2024,27.06,31.3
09/05/2024,27.17,31.2
10/05/2024,26.63,28.9
11/05/2024,26.30,27.8
12/05/2024,25.93,22.4
13/05/2024,26.53,25.3
14/05/2024,26.85,28.8
15/05/2024,28.02,32.1
16/05/2024,28.13,32
17/05/2024,27.59,30.9
18/05/2024,27.24,29
19/05/2024,26.87,29.4
20/05/2024,27.46,28.8
21/05/2024,27.78,31.3
22/05/2024,28.94,32.7
23/05/2024,29.03,32.2
24/05/2024,28.48,30.9
25/05/2024,28.13,31.2
26/05/2024,27.75,30
27/05/2024,28.33,31.5
28/05/2024,28.64,31.4
29/05/2024,29.79,28.4
30/05/2024,29.89,27
31/05/2024,29.33,25.3
,,
,,
ds,prediction,actual
01/06/2024,28.98,24.8
02/06/2024,28.60,28
03/06/2024,29.18,30.1
04/06/2024,29.49,28.4
05/06/2024,30.64,26.7
06/06/2024,30.73,25.1
07/06/2024,30.18,25.5
08/06/2024,29.83,25.2
09/06/2024,29.44,26.1
10/06/2024,30.03,29.8
11/06/2024,30.33,30.5
12/06/2024,31.49,31.3
13/06/2024,31.58,29.6
14/06/2024,31.03,31
15/06/2024,30.67,31.5
16/06/2024,30.29,33.5
17/06/2024,30.87,32.3
18/06/2024,31.18,29.6
19/06/2024,32.33,30.5
20/06/2024,32.43,30.7
21/06/2024,31.87,29.1
22/06/2024,31.52,30.8
23/06/2024,31.14,31.6
24/06/2024,31.72,31.9
25/06/2024,32.03,33.2
26/06/2024,33.18,34.6
27/06/2024,33.27,35.9
28/06/2024,32.71,37.2
29/06/2024,32.35,35.9
30/06/2024,31.96,36.7
,,
,,
ds,prediction,actual
01/07/2024,32.54,34
02/07/2024,32.84,35
03/07/2024,33.98,36
04/07/2024,34.06,36
05/07/2024,33.50,30
06/07/2024,33.13,29
07/07/2024,32.74,33
08/07/2024,33.31,34
09/07/2024,33.60,30
10/07/2024,34.74,34
11/07/2024,34.82,30
12/07/2024,34.25,31
13/07/2024,33.89,28
14/07/2024,33.49,32
15/07/2024,34.06,33
16/07/2024,34.36,34
17/07/2024,35.50,31
18/07/2024,35.58,26
19/07/2024,35.01,34
20/07/2024,34.64,35
21/07/2024,34.25,36
22/07/2024,34.82,32
23/07/2024,35.11,36
24/07/2024,36.25,35
25/07/2024,36.33,35
26/07/2024,35.77,36
27/07/2024,35.40,29
28/07/2024,35.00,30
29/07/2024,35.57,29
30/07/2024,35.87,29
31/07/2024,37.01,30
,,
,,
ds,prediction,actual
01/08/2024,37.09,38.1
02/08/2024,36.52,39.1
03/08/2024,36.16,38.2
04/08/2024,35.76,31.3
05/08/2024,36.33,33.9
06/08/2024,36.62,34.7
07/08/2024,37.76,36.5
08/08/2024,37.84,36.7
09/08/2024,37.28,34.8
10/08/2024,36.91,35.8
11/08/2024,36.52,36
12/08/2024,37.09,35.4
13/08/2024,37.38,35.7
14/08/2024,38.52,
15/08/2024,38.60,
16/08/2024,38.03,
17/08/2024,37.67,
18/08/2024,37.27,
19/08/2024,37.84,
20/08/2024,38.14,
21/08/2024,39.28,
22/08/2024,39.36,
23/08/2024,38.79,
24/08/2024,38.42,
25/08/2024,38.03,
26/08/2024,38.60,
27/08/2024,38.89,
28/08/2024,40.03,
29/08/2024,40.11,
30/08/2024,39.55,
31/08/2024,39.18,
,,
,,
ds,prediction,actual
01/09/2024,38.78,
02/09/2024,39.35,
03/09/2024,39.65,
04/09/2024,40.79,
05/09/2024,40.87,
06/09/2024,40.30,
07/09/2024,39.94,
08/09/2024,39.54,
09/09/2024,40.11,
10/09/2024,40.41,
11/09/2024,41.54,
12/09/2024,41.63,
13/09/2024,41.06,
14/09/2024,40.69,
15/09/2024,40.30,
16/09/2024,40.87,
17/09/2024,41.16,
18/09/2024,42.30,
19/09/2024,42.38,
20/09/2024,41.81,
21/09/2024,41.45,
22/09/2024,41.05,
23/09/2024,41.62,
24/09/2024,41.92,
25/09/2024,43.06,
26/09/2024,43.14,
27/09/2024,42.57,
28/09/2024,42.20,
29/09/2024,41.81,
30/09/2024,42.38,
,,
,,
ds,prediction,actual
01/10/2024,42.67321941,
02/10/2024,43.81230511,
03/10/2024,43.89322079,
04/10/2024,43.32590479,
05/10/2024,42.95949127,
06/10/2024,42.56481721,
07/10/2024,43.13494139,
08/10/2024,43.4292638,
09/10/2024,44.5683495,
10/10/2024,44.64926518,
11/10/2024,44.08194918,
12/10/2024,43.71553566,
