time,temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm)
09/04/2024,31.6,17.3,0
10/04/2024,28,19.7,0
11/04/2024,28.6,18.7,0.1
12/04/2024,29.5,18.7,0
13/04/2024,23.8,17.5,11.5
14/04/2024,20.9,17,0.9
15/04/2024,20.8,17,0.1
16/04/2024,26.4,14.8,0
17/04/2024,28.5,16.4,0
18/04/2024,24.7,19.4,0.6
19/04/2024,22.3,16.2,11.7
20/04/2024,26.7,16.2,0
21/04/2024,29.7,15.7,0
22/04/2024,29.7,17.9,0
23/04/2024,29,17.3,0
24/04/2024,30.9,18,0
25/04/2024,32.2,19.5,0
26/04/2024,30.7,20.2,0
27/04/2024,22.6,18.4,0
28/04/2024,23.6,17.3,0
29/04/2024,22.1,14.3,5.3
30/04/2024,23.8,12.3,0
01/05/2024,28.1,14.8,0
02/05/2024,30.6,15.5,0
03/05/2024,29.3,18.3,0
04/05/2024,30.9,18.9,1.6
05/05/2024,32.4,19.1,0
06/05/2024,35.2,21.6,0
07/05/2024,36.5,21.3,0
08/05/2024,37.7,22.3,0
09/05/2024,36.8,23.5,0
10/05/2024,30.6,23,0
11/05/2024,32.8,22.1,0
12/05/2024,29.2,21.5,0
13/05/2024,33,21,0
14/05/2024,35,21.8,0
15/05/2024,37.1,22,0
16/05/2024,36.9,25.4,0
17/05/2024,38.4,25.4,0
18/05/2024,38,25.8,0
19/05/2024,38.1,26.1,0
20/05/2024,39.1,26.2,0
21/05/2024,39.7,26.4,0
22/05/2024,41,26.6,0
23/05/2024,40.9,26.2,0
24/05/2024,40,27.4,0
25/05/2024,39.6,24.2,0
26/05/2024,40.6,25.7,0
27/05/2024,41.3,25.3,0
28/05/2024,42.1,25,0
29/05/2024,41.3,25.3,0
30/05/2024,41.1,27.3,0
31/05/2024,39.3,25.6,0
01/06/2024,41,27.4,0
02/06/2024,41.2,26.2,0
03/06/2024,41.8,27.3,0
04/06/2024,38.9,26.6,0
05/06/2024,34,22.5,0
06/06/2024,34.2,21.9,0
07/06/2024,34.3,21.9,0
08/06/2024,35.6,23.1,0
09/06/2024,37.1,24.1,0
10/06/2024,39.7,24.7,0
11/06/2024,40.6,26.2,0
12/06/2024,41.6,27.8,0
13/06/2024,41.2,30.1,0
14/06/2024,41.2,28.8,0
15/06/2024,40.6,29.6,0
16/06/2024,42.8,28.6,0
17/06/2024,42.5,29.5,0
18/06/2024,41.3,29.6,0
19/06/2024,41.1,27.5,0
20/06/2024,37.5,27,0
21/06/2024,34,24.1,0
22/06/2024,38,26.1,0
23/06/2024,39.2,28.4,0
24/06/2024,40.6,27.4,0
25/06/2024,40.8,28.8,0
26/06/2024,42.2,29.6,0
27/06/2024,38.1,30.9,0
28/06/2024,38.3,26.7,0
29/06/2024,37.8,28.9,0
30/06/2024,36.3,26.6,0
01/07/2024,36.3,26.7,0
02/07/2024,36.8,27.1,0
03/07/2024,39.5,28.4,0
04/07/2024,32.2,26.2,0
05/07/2024,32.7,25.4,0
06/07/2024,31.5,23.6,0
07/07/2024,32.6,24.8,0
08/07/2024,36.2,26.2,0
09/07/2024,36.7,26.6,0
10/07/2024,34.9,25.8,0
11/07/2024,33,26.1,0
12/07/2024,32.2,24.3,0
13/07/2024,29.3,24.4,0.1
14/07/2024,31.7,25,0
15/07/2024,35.9,26.3,0
16/07/2024,36.6,27.2,0
17/07/2024,36.3,26.4,1.2
18/07/2024,36.2,27.3,0
19/07/2024,38.2,28.9,0
20/07/2024,40.3,30.9,0
21/07/2024,39.6,33.3,0
22/07/2024,38.3,32.1,0
23/07/2024,39.8,29.7,0
24/07/2024,30.9,28.1,0
25/07/2024,34.6,25.6,0
